Chemical Companies,Emails
Chemlap Nigeria Limited  ,N/A
Indorama Eleme Petrochemicals  ,info@indorama.com.ng
Jawura Environmental Services Limited  ,info@jawura.com.ng
Federal University of Petroleum Resources  ,info@fupre.edu.ng
Fanor Legacy Ltd  ,joechuksng@yahoo.com
Ojota Chemical Market  ,info@ojotachemicalmarket.com
Quorum Industries Limited  ,quorum_ike@yahoo.com
Barivan Chemicals Company  ,barthemailing@gmail.com
BC Chemical Industries Ltd  ,Info@bcchemstore.com
Chemical & Allied Products Plc,careline@capplc.com
D.N. Meyer PLC,info@meyerpaints.com
DVC Limited,admin@dvclimited.com.ng
Drury Industries Limited,info@drury-industries.com
Nasco Household Products Limited,N/A
Logus Investment Ltd,info@logusinvestment.com
DN Meyer,info@meyerpaints.com
Chemical & Allied Products,careline@capplc.com
Techno Oil Limited,info@technooil.com
Lifepack Nigeria Limited,info@lifepackng.com
Nagode Industries Ltd,info@nagode.com
Falcon Chemicals Ltd,macrosol@falcon-chemicals.com
Spool & Water Bodies Ltd,enquiries@spoolng.com
May & Baker,info@may-baker.com
Chemical and Allied Products (CAP) Plc,taesinternationalconceptltd@gmail.com
Finlab Laboratory,info@finlabnigeria.com
Jemmtek Resources Limited,info@jemmtek.com
Chemical and Allied Products,careline@capplc.com
Labstock Nigeria Limited,sales@labstocknigeria.com
Dupont Nigeria Limited,N/A
Nexthope Chemical,sales@nexthopechemical.com
Multichem Industries Limited,multichem@multichem.org
Biochemical Derivatives Limited,office@bdlng.com
Eunisell Limited,info@eunisell.com
Redachem Industry Nigeria Ltd,management@redachem.com
Azelis,info.nigeria@orkila.com
GGI Intl' Nigeria Ltd,ggi_group@yahoo.com
Standard Refining and Petrochemical Company,info@chelseahotelabuja.com
Warri Refining & Petrochemical Co. Limited,wrpc@nnpcgroup.com
WATTCCON,info@wattcon.com
Grayford Industrial (Nigeria),babs.kuyinu@grayfordindustrial.com
Chemical & Allied Products Plc (CAPL),N/A
Poly Products Nigeria Limited,info@polyproductsnig.com
Production Chemical Nigeria,N/A
Sren Chemicals Limited,info@srenchemicals.com
Zenon So-Fine Cosmetics,info@zenonsofine.com
Berger Paints Nigeria Limited Print,customercare@bergerpaintnig.com
Jubaili Agrotec,N/A
Gongoni Company Ltd,happiness@gongoni.com
Ibadan University College Hospital,info@uch-ibadan.org.ng
Calaya Engineering Services Ltd,info@calayaengineering.com
Zeconia Limited,info@zeconia.com
Hamiliton Technologies Limited,info@hamiltontechnologies.com
Saro Agro Sciences Limited,info@saroagro.com
Primegold Chemical Industries Ltd,info@primegoldfertilizers.com
Jubaili Agrotec,N/A
Zuma Paints & Chemical Company Limited,info@zumapaints.com.ng
Harvestfield Industries Limited - MDS Depot - Yola,N/A
Derotech International Ltd,info@derotechng.com
Derotech International Ltd,info@derotechng.com
Rufus Oil Limited,info@rufusoil.com
African Industries Group,info@africanindustries.com
